time,speechWorkload,condition
0,0.0,high
1,0.0,high
2,0.0,high
3,0.0,high
4,0.0,high
5,0.0,high
6,0.0,high
7,4.0,high
8,4.0,high
9,4.0,high
10,4.0,high
11,4.0,high
12,4.0,high
13,4.0,high
14,4.0,high
15,4.0,high
16,0.0,high
17,0.0,high
18,0.0,high
19,4.0,high
20,4.0,high
21,0.0,high
22,0.0,high
23,4.0,high
24,0.0,high
25,0.0,high
26,0.0,high
27,0.0,high
28,0.0,high
29,0.0,high
30,0.0,high
31,0.0,high
32,0.0,high
33,0.0,high
34,0.0,high
35,0.0,high
36,0.0,high
37,0.0,high
38,0.0,high
39,0.0,high
40,0.0,high
41,0.0,high
42,0.0,high
43,0.0,high
44,4.0,high
45,4.0,high
46,4.0,high
47,0.0,high
48,0.0,high
49,0.0,high
50,0.0,high
51,0.0,high
52,0.0,high
53,0.0,high
54,0.0,high
55,0.0,high
56,0.0,high
57,0.0,high
58,0.0,high
59,0.0,high
60,0.0,high
61,0.0,high
62,0.0,high
63,0.0,high
64,0.0,high
65,0.0,high
66,0.0,high
67,0.0,high
68,0.0,high
69,0.0,high
70,0.0,high
71,0.0,high
72,0.0,high
73,0.0,high
74,0.0,high
75,0.0,high
76,0.0,high
77,0.0,high
78,0.0,high
79,0.0,high
80,0.0,high
81,0.0,high
82,0.0,high
83,0.0,high
84,0.0,high
85,0.0,high
86,0.0,high
87,0.0,high
88,0.0,high
89,0.0,high
90,0.0,high
91,0.0,high
92,0.0,high
93,4.0,high
94,4.0,high
95,4.0,high
96,4.0,high
97,4.0,high
98,4.0,high
99,4.0,high
100,4.0,high
101,4.0,high
102,0.0,high
103,0.0,high
104,0.0,high
105,0.0,high
106,0.0,high
107,0.0,high
108,0.0,high
109,0.0,high
110,0.0,high
111,0.0,high
112,0.0,high
113,4.0,high
114,4.0,high
115,4.0,high
116,4.0,high
117,4.0,high
118,0.0,high
119,0.0,high
120,0.0,high
121,0.0,high
122,0.0,high
123,0.0,high
124,0.0,high
125,0.0,high
126,0.0,high
127,0.0,high
128,0.0,high
129,0.0,high
130,0.0,high
131,0.0,high
132,0.0,high
133,0.0,high
134,0.0,high
135,0.0,high
136,0.0,high
137,0.0,high
138,0.0,high
139,0.0,high
140,0.0,high
141,0.0,high
142,0.0,high
143,0.0,high
144,0.0,high
145,0.0,high
146,0.0,high
147,0.0,high
148,0.0,high
149,0.0,high
150,0.0,high
151,0.0,high
152,0.0,high
153,0.0,high
154,0.0,high
155,0.0,high
156,0.0,high
157,0.0,high
158,0.0,high
159,0.0,high
160,0.0,high
161,0.0,high
162,0.0,high
163,0.0,high
164,0.0,high
165,0.0,high
166,0.0,high
167,4.0,high
168,4.0,high
169,4.0,high
170,4.0,high
171,4.0,high
172,4.0,high
173,4.0,high
174,4.0,high
175,0.0,high
176,0.0,high
177,0.0,high
178,0.0,high
179,0.0,high
180,0.0,high
181,0.0,high
182,0.0,high
183,0.0,high
184,0.0,high
185,0.0,high
186,0.0,high
187,0.0,high
188,0.0,high
189,0.0,high
190,0.0,high
191,0.0,high
192,0.0,high
193,0.0,high
194,0.0,high
195,0.0,high
196,0.0,high
197,0.0,high
198,0.0,high
199,0.0,high
200,0.0,high
201,0.0,high
202,0.0,high
203,0.0,high
204,0.0,high
205,0.0,high
206,0.0,high
207,0.0,high
208,0.0,high
209,0.0,high
210,0.0,high
211,0.0,high
212,0.0,high
213,0.0,high
214,0.0,high
215,0.0,high
216,0.0,high
217,0.0,high
218,0.0,high
219,0.0,high
220,0.0,high
221,0.0,high
222,0.0,high
223,0.0,high
224,0.0,high
225,0.0,high
226,0.0,high
227,0.0,high
228,0.0,high
229,0.0,high
230,0.0,high
231,4.0,high
232,4.0,high
233,0.0,high
234,4.0,high
235,4.0,high
236,4.0,high
237,4.0,high
238,4.0,high
239,4.0,high
240,0.0,high
241,0.0,high
242,0.0,high
243,0.0,high
244,0.0,high
245,2.0,high
246,0.0,high
247,0.0,high
248,0.0,high
249,0.0,high
250,0.0,high
251,0.0,high
252,0.0,high
253,0.0,high
254,0.0,high
255,0.0,high
256,2.0,high
257,2.0,high
258,2.0,high
259,2.0,high
260,2.0,high
261,2.0,high
262,2.0,high
263,2.0,high
264,2.0,high
265,2.0,high
266,2.0,high
267,2.0,high
268,2.0,high
269,2.0,high
270,2.0,high
271,0.0,high
272,0.0,high
273,0.0,high
274,0.0,high
275,0.0,high
276,0.0,high
277,0.0,high
278,0.0,high
279,0.0,high
280,0.0,high
281,0.0,high
282,0.0,high
283,0.0,high
284,4.0,high
285,4.0,high
286,4.0,high
287,4.0,high
288,4.0,high
289,4.0,high
290,4.0,high
291,4.0,high
292,4.0,high
293,0.0,high
294,0.0,high
295,0.0,high
296,0.0,high
297,4.0,high
298,4.0,high
299,0.0,high
300,4.0,high
301,4.0,high
302,0.0,high
303,0.0,high
304,0.0,high
305,0.0,high
306,0.0,high
307,0.0,high
308,0.0,high
309,0.0,high
310,0.0,high
311,0.0,high
312,0.0,high
313,0.0,high
314,0.0,high
315,0.0,high
316,0.0,high
317,0.0,high
318,0.0,high
319,0.0,high
320,0.0,high
